INCOME_BUCKET_LONG,benchmark_percentage,kroger_percentage
"Less than $20,000",0.213780092,0.276928894
"$20,000-$29,999",0.203426061,0.284691173
"$30,000-$39,999",0.201103375,0.287668165
"$40,000-$49,999",0.202279559,0.290110574
"$50,000-$59,999",0.205991657,0.278650242
"$60,000-$69,999",0.205314725,0.281935088
"$70,000-$79,999",0.207710952,0.282789098
"$80,000-$89,999",0.211351861,0.278960295
"$90,000-$99,999",0.201355906,0.275098689
"$100,000-$124,999",0.207081399,0.269468868
"$125,000-$149,999",0.206319692,0.259622271
"$150,000-$174,999",0.203454632,0.259995846
"$175,000-$199,999",0.2088413,0.23654964
"$200,000-$224,999",0.203194667,0.242163841
"$225,000-$249,999",0.188231229,0.2268759
"$250,000 +",0.200039743,0.241973021
